001	RODAMIENTOS*
700	SERVICIO DE MANO DE OBRA*
701	AUTOELEVADOR
702	VEHICULOS
703	TRACTORES
704    REPUESTOS AGRICOLAS
705	LOCOTRACTOR
707	VEHICULOS AUTOMOTRICES
708	CARROS
709	COMPACTADORES Y BATEAS
800	SERVICIO DE CALIBRACION*
801	SERVICIOS (DISTINTOS TIPOS)
802	GASTOS DE VIAJES EN GENERAL
804	Combustibles
805	SERVICIOS (DISTINTOS TIPOS)
809	Dcto.Elaborados/Frescos Cerdo
810		CORTE DE CERDO ELABORADO
811	CORTE DE CERDO FRESCO
812	VENTAS ACHAS
813	Artículos GUIDE
814	AGROAVAL
815	Ventas Unagro Agrotécnico
816	Ventas Unagro Expl.Agrop.
817	VENTAS NIZA
818	Ventas Mani
819	SERVICIO DE FLETES
820	Item de descuento
821	Subproducto de Fca MI
822	Ventas Fideicomiso
823	VTAS WIESENGRUND
824	VTAS LAS VERBENAS
825	VTAS PROMAIZ
826	VTAS  AGROINSUMO
827	VTAS EALP
828	VTAS DESARROLOS DEL NEA
901	SOLVENTES
902	ACIDOS
903	HIDROXIDOS
904	DROGAS
905	GASES
906	ANALISIS DE AGUAS
907	INDICADORES
908	MATERIAL DE VIDRIO
909	H.P.L.C CROMATOGRAFIA LIQUIDA
910	CROMATOGRAFIA GASEOSA
911	EQUIPO RANCIMAT
912	ESPECTROFOTOMETRO-COLORIMETRO
913	BALANZAS - TERMOBALANZAS
914	EQUIPO NIR - HUMEDIMETROS
915	MOLIENDA
916	EQUIPO TWISSELMANN
917	EQUIPO FIBRA TECATOR
918	CENTRIFUGAS
919	PROTEINAS
920	MATERIALES DE MEDICION
921	ANALISIS VARIOS
922	CARTUCHOS ABSORVENTES
923	REACTIVOS
924	FLUOROMETRO
925	JERINGA
926	PRENSA EXTRACCIÓN OLEAGINOSOS
927	ESTUFAS SECADO/CULTIVO/ESTERIL
928	EQUIPO P/DET.PUNTO INFLAMACION
929	EQUIPO P/DET. DE PROTEÍNAS
930	REACTIVO
931	TAMICES
932	MEDIDOR DE HUMEDAD
933	FLASH POINT
934	MUFLA INDEF
935	ESTANDARES
936	EQUIPOS FIBRA
937	EQUIPO VISCOSIMETRO BROOKFIELD
938	EQUIPO BIOTRACE
993	CAJAS*
994	ETIQUETAS*
995	ENVASES*
996	TAPAS*
997	POLIMEROS PLASTICOS*
998	ADHESIVOS*
999	INSUMOS PLANTA ENVASADO*
ACE	ACEITES
AGR	AGROQUIMICOS
AGU	AGUA
AIA	AGROQUIMICOS
AIF	FERTILIZANTES
AIO	OTROS
AIS	SEMILLAS
APS	MANI APTO PARA SELECCION
B	Brass
BAL	BOLSAS
BOL	BOLSONES
C	Copper
CEN	CENIZAS
CER	CEREALES
COA	COADYUVANTE
CUI	CURASEMILLAS E INOCULANTES
CUR	CURASEMILLAS
DRG	Drugs-Pharmacetical
ELC	Electrical
FDB	Food & Beverage
FER	FERTILIZANTES
FLT	Filter
FUN	FUNGICIDAS
GAR	Gardening Products
GAS	GAS OIL
HAR	HARINAS
HER	HERBICIDA
HLT	Health
HMR	Hammer
HRD	Hardware
INO	INOCULANTES
INS	INSECTICIDA
KIL	KILOS
LWN	Lawn Products
MET	Metal Extruded Products
MOT	Motorized
OFS	Office
OIL	Oil Field Supplies
OLE	OLEAGINOSOS
OTR	OTROS
OTROS	OTROS
PAS	PASTURAS
PEL	PELLETS
PKG	Packaging Material
PLA	Plastic Compound
RAT	RATICIDA
S01	Model S01
S02	Model S02
S03	Model S03
S04	Model S04
S05	Model S05
S06	Model S06
S07	Model S07
S08	Model S08
S09	Model S09
S10	Model S10
S11	Model S11
S12	Model S12
SEM	SEMILLAS
SHO	Shoes
SPO	Supplies, Office
STE	Steel Products
SUB	SUBPRODUCTOS
SUP	Supplies, Other
T00	Model T00
T01	Model T01
T02	Model T02
TER	PRODUCTO TERMINADO
VAR	VARIOS
WCH	Wrench
